Azimuth,Elevation,cos,shade,refl,block,spill,absorb,opt,cos_se,shade_se,refl_se,block_se,spill_se,abs_se,opt_se,1,2,3,4,5,6,7,8,9,10,,1,2,3,4,5,6,7,8,9,10,
0.0,10.0,0.367797921135,0.871639437517,0.96,1.0,0.892010190473,1.0,0.274521736078,0.0,0.0244098109879,3.94558955373e-15,0.0,0.00464762983826,2.99672090756e-16,0.00745100533942,0.0036791879664,0.047715418429,0.117907578944,0.221852025033,0.339296092879,0.472896910939,0.607189960999,0.7228583072,0.821324309744,0.892010190473,,0.00111334336507,0.0146777558998,0.0362672334278,0.0682560613165,0.104390358223,0.145507819726,0.186888221848,0.222442876423,0.252752403257,0.274521736078,
10.0,10.0,0.37339399556,0.903222878119,0.96,1.0,0.900545779514,1.0,0.291548558506,0.0,0.0242976389189,3.58646718069e-15,0.0,0.00637338112358,4.46856147585e-16,0.0063808736693,0.00672574158911,0.0535659817031,0.127449072886,0.236147643078,0.356168851268,0.491668931225,0.623035959363,0.743853001707,0.835435035168,0.900545779514,,0.00218270038121,0.0173589682355,0.0412742483999,0.0764588311594,0.115360162656,0.159218071444,0.201737622256,0.240831907203,0.270485157711,0.291548558506,
20.0,10.0,0.390904346362,0.900321698683,0.96,0.999931020211,0.907360651533,1.0,0.306543798097,0.0,0.0243398995583,3.5150940383e-15,0.000206939366766,0.00526544819652,2.95232258783e-16,0.00858671216138,0.00888402287407,0.0654163200231,0.153090735401,0.270053349945,0.398889558723,0.533593515758,0.659482566863,0.764378397935,0.847481545379,0.907360651533,,0.00298618435495,0.0220606201987,0.0516908023105,0.0912286651496,0.134759510997,0.180257035378,0.2227761952,0.258224305064,0.286298347898,0.306543798097,
30.0,10.0,0.419741484102,0.828267732271,0.96,0.998232689995,0.919380492211,1.0,0.306295128605,0.0,0.0138623143444,2.16237132708e-15,0.00158377194476,0.00352191787608,5.31865199305e-16,0.00417269483086,0.0115412788231,0.0675394169488,0.16151876424,0.284467695304,0.423735145226,0.558389040473,0.683734636172,0.788304295226,0.865189259803,0.919380492211,,0.00384264744229,0.0225016566572,0.0538052749772,0.0947688820061,0.141155712616,0.186029021832,0.227786338091,0.262615120161,0.288245085954,0.306295128605,
40.0,10.0,0.458655432605,0.86868773432,0.96,0.996054566706,0.939997775893,1.0,0.358121604365,0.0,0.00446706550725,6.09612534377e-16,0.0023400385178,0.00546090167969,3.72380122987e-16,0.002691134148,0.0187481766877,0.0933261810935,0.211351329837,0.3573836422,0.50714249644,0.645170780674,0.757776750258,0.846015417869,0.902191743942,0.939997775893,,0.00714475152998,0.0355568050189,0.0805259067286,0.136163555255,0.193220301144,0.245807642994,0.288708995314,0.322319844256,0.343719887241,0.358121604365,
50.0,10.0,0.505410405288,0.887222539128,0.96,0.995875530855,0.953941864115,1.0,0.408962785909,0.0,0.01352604302,1.54257089461e-15,0.00125298475323,0.00365515493977,3.57174466495e-16,0.00754667193256,0.0314839304522,0.128827385606,0.268110254412,0.428203180154,0.580225502697,0.710680523926,0.808193013894,0.879216046394,0.924524820847,0.953941864115,,0.0135040046156,0.0552161615559,0.1149304649,0.183542522401,0.248710155538,0.304646129257,0.346462289476,0.376918828463,0.396338703767,0.408962785909,
60.0,10.0,0.557031075914,0.887732401337,0.96,0.993501889316,0.970960173764,1.0,0.457931908443,0.0,0.0128264650089,1.2942553181e-15,0.00107861269168,0.00239846874518,7.44760245974e-17,0.00640554918086,0.0413312602573,0.158750369991,0.318263881296,0.489486932496,0.647209017775,0.770370517341,0.858048243618,0.915396803914,0.949671909796,0.970960173764,,0.0194814561924,0.07485499113,0.150067151413,0.230831170911,0.305229095002,0.36333408446,0.404687703783,0.431731293083,0.447899697474,0.457931908443,
70.0,10.0,0.61065167896,0.755381639565,0.96,0.998074651174,0.979433765804,1.0,0.432872592217,0.0,0.0114752984383,1.49323965003e-15,0.000804788345068,0.00392242122956,2.10650008115e-16,0.00532423675348,0.0523764163777,0.189202090213,0.370357916405,0.555205692732,0.710764537259,0.820064199862,0.894989463866,0.935934379949,0.962629590233,0.979433765804,,0.0231557825395,0.0836528474001,0.163692949342,0.245376576774,0.314121375301,0.362439108881,0.395547731466,0.413648407292,0.425440463207,0.432872592217,
80.0,10.0,0.664016679117,0.498692027542,0.96,0.998885735226,0.981553726171,1.0,0.311681403652,0.0,0.0136442681848,3.69939239746e-15,0.000453765056281,0.0028925788026,1.71995011398e-16,0.0085063099939,0.0475323332702,0.177134931241,0.365655516922,0.554446024223,0.718182767412,0.826061454643,0.898131567919,0.943452022127,0.96691245229,0.981553726171,,0.0150930196162,0.0562564224167,0.116113046037,0.176079146792,0.228055697458,0.262324321521,0.285179954248,0.299579618675,0.307026344636,0.311681403652,
90.0,10.0,0.715473594321,0.348504236992,0.96,0.992366423628,0.981782969048,1.0,0.233222790158,0.0,0.00960955597854,1.35973995551e-16,0.00203387809052,0.00280810768968,0.0,0.00670212234658,0.0535546601921,0.191508020672,0.379789160572,0.567112172269,0.71962207215,0.828531375246,0.903907284546,0.946888183668,0.969162244749,0.981782969048,,0.0126993476725,0.0454877496373,0.0902274055181,0.13471161475,0.170930300282,0.196785150356,0.214702908136,0.224920774079,0.230212168943,0.233222790158,
