4.89,57.93,4.02,80.71
14.65,57.94,4.15,81.80
24.37,57.93,4.28,83.99
34.12,57.94,4.44,87.22
43.85,57.93,4.65,91.34
53.62,57.94,4.84,96.31
63.36,57.92,5.02,101.94
73.12,57.94,5.21,108.19
82.87,57.93,5.21,115.00
92.61,57.93,5.21,122.21
-4.84,57.93,3.89,80.79
-14.6,57.93,3.76,82.05
-24.36,57.91,3.61,84.42
-34.11,57.92,3.44,87.85
-43.86,57.93,3.29,92.17
-53.61,57.91,3.08,97.30
-63.36,57.94,2.83,103.15
-73.1,57.95,2.62,109.52
-82.86,57.93,2.62,116.25
-92.6,57.93,2.62,123.38
4.88,70.09,4.12,89.77
14.63,70.1,4.25,90.75
24.36,70.11,4.42,92.73
34.11,70.1,4.43,95.74
43.85,70.09,4.8,99.41
53.61,70.1,4.99,103.99
63.38,70.12,5.18,109.27
73.1,70.12,5.38,115.08
82.87,70.1,5.38,121.51
-4.85,70.1,3.97,89.87
-14.62,70.1,3.83,91.01
-24.35,70.1,3.66,93.17
-34.1,70.11,3.49,96.29
-43.89,70.09,3.29,100.27
-53.63,70.11,3.1,105.02
-63.38,70.11,2.88,110.43
-73.13,70.11,2.64,116.42
-82.86,70.1,2.64,122.76
4.92,82.28,4.24,99.52
14.67,82.28,4.39,100.39
24.36,82.3,4.56,102.18
34.13,82.3,4.78,104.82
43.89,82.29,4.97,108.29
53.63,82.31,5.15,112.52
63.39,82.28,5.36,117.36
73.15,82.29,5.55,122.83
82.87,82.29,5.79,128.75
-4.86,82.31,4.07,99.63
-14.62,82.3,3.89,100.67
-24.32,82.3,3.72,102.63
-34.13,82.28,3.56,105.45
-43.86,82.31,3.32,109.14
-53.56,82.29,3.1,113.48
-63.37,82.3,2.92,118.52
-73.09,82.29,2.69,124.09
-82.86,82.31,2.43,130.21
4.89,94.49,4.34,109.77
14.63,94.49,4.53,110.54
24.39,94.5,4.75,112.15
34.11,94.5,4.96,114.56
43.88,94.48,5.14,117.74
53.62,94.48,5.32,121.62
63.38,94.48,5.52,126.14
73.13,94.48,5.72,131.23
82.87,94.48,5.92,136.82
92.61,94.48,6.15,142.84
-4.88,94.5,4.19,109.86
-14.63,94.49,4.02,110.80
-24.38,94.48,3.85,112.58
-34.12,94.49,3.62,115.20
-43.82,94.48,3.4,118.53
-53.6,94.48,3.17,122.59
-63.16,94.48,2.95,127.16
-73.1,94.5,2.69,132.51
-82.85,94.49,2.47,138.21
-92.6,94.49,2.22,144.37
4.89,107.3,4.48,120.91
14.62,107.28,4.72,121.57
24.39,107.29,4.92,123.04
34.13,107.3,5.11,125.26
43.88,107.29,5.29,128.18
53.63,107.29,5.5,131.75
63.39,107.29,5.71,135.93
73.13,107.3,5.9,140.67
82.88,107.28,6.07,145.90
92.6,107.29,6.3,151.56
102.37,107.29,6.52,157.64
-4.88,107.3,4.31,120.99
-14.64,107.32,4.1,121.89
-24.37,107.29,3.9,123.50
-34.13,107.29,3.64,125.91
-43.86,107.29,3.4,128.99
-53.61,107.3,3.18,132.72
-63.37,107.3,2.97,137.05
-73.11,107.3,2.73,141.91
-82.87,107.29,2.52,147.25
-92.61,107.29,2.25,153.05
-102.38,107.28,2.02,159.22
4.86,121.61,4.58,133.73
14.62,121.6,4.83,134.33
24.39,121.63,5.06,135.67
34.12,121.59,5.29,137.63
43.86,121.6,5.46,140.30
53.64,121.62,5.68,143.59
63.39,121.6,5.87,147.43
73.13,121.59,6.07,151.79
82.9,121.61,6.25,156.69
92.6,121.63,6.45,161.98
102.37,121.62,6.68,167.67
112.17,121.56,6.99,173.69
